Descrip,CaseID,Agency,Date,Location,City,State,latitude,longitude,LatLong
NON-AGGRAVATED ASSAULT,20140603-1514-03,Charlotte-Mecklenburg Police,6/3/2014 15:14,3300 BLOCK QUEEN CITY DR,Charlotte,North Carolina,35.239952,-80.920653,35.239952:-80.920653
LARCENY-OTHER,20140603-1514-00,Charlotte-Mecklenburg Police,6/3/2014 15:14,3200 BLOCK THE PLAZA RD,Charlotte,North Carolina,35.240054,-80.797593,35.240054:-80.797593
LARCENY-POCKET PICKING,20140603-1512-00,Charlotte-Mecklenburg Police,6/3/2014 15:12,1700 BLOCK SOUTH BV,Charlotte,North Carolina,35.212827,-80.857191,35.212827:-80.857191
LARCENY-OTHER,20140603-1511-05,Charlotte-Mecklenburg Police,6/3/2014 15:11,2900 BLOCK FREEDOM DR,Charlotte,North Carolina,35.241074,-80.886425,35.241074:-80.886425
RESIDENTIAL BURGLARY,20140603-1506-09,Charlotte-Mecklenburg Police,6/3/2014 15:06,3200 BLOCK SHAMROCK DR,Charlotte,North Carolina,35.235149,-80.773022,35.235149:-80.773022
LARCENY FROM AUTO,20140603-1506-07,Charlotte-Mecklenburg Police,6/3/2014 15:06,2700 BLOCK W MALLARD CREEK CHURCH RD,Charlotte,North Carolina,35.340273,-80.764928,35.340273:-80.764928
NON-AGGRAVATED ASSAULT,20140603-1454-00,Charlotte-Mecklenburg Police,6/3/2014 14:54,3900 BLOCK SHARON RD,Charlotte,North Carolina,35.15682,-80.822831,35.15682:-80.822831
AUTO THEFT,20140603-1450-01,Charlotte-Mecklenburg Police,6/3/2014 14:50,4100 BLOCK RENTAL CAR RD,Charlotte,North Carolina,35.226253,-80.946783,35.226253:-80.946783
NON-AGGRAVATED ASSAULT,20140603-1449-02,Charlotte-Mecklenburg Police,6/3/2014 14:49,2300 BLOCK LASALLE ST,Charlotte,North Carolina,35.263005,-80.854731,35.263005:-80.854731
FRAUD,20140603-1442-02,Charlotte-Mecklenburg Police,6/3/2014 14:42,11400 BLOCK LAMOILLE LN,Charlotte,North Carolina,35.154585,-80.992029,35.154585:-80.992029
